age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;like1;like2;like3;community
18-25;male;Palo Alto;Hindu;Single;Student;Center;Homosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Norfolk;Jewish;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;6
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;male;Santa Barbara;No religious affiliation;Married;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;0
56-65;female;Norfolk;Other Religions;Single;Professional;Center;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;male;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;San Jose;Christian;Single;Professional;Right;Heterosexual;drink brand;drink brand;entertainment;5
76-85;female;Boca Raton;Buddhist;Divorced;Manager;Center Left;Heterosexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;9
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Left;Heterosexual;music artist;music artist;entertainment;9
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boston;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;male;Norfolk;Buddhist;Married;Service;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;San Jose;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;Norfolk;Buddhist;Married;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Christian;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;entertainment;entertainment;music artist;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
18-25;male;Boca Raton;Muslim;Single;Professional;Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Santa Barbara;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;entertainment;entertainment;music artist;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;9
56-65;male;Boca Raton;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Santa Barbara;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Single;Professional;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
18-25;female;San Jose;No religious affiliation;Widowed;Production transportation and material moving;Center Right;Homosexual;entertainment;entertainment;music artist;0
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Right;Heterosexual;music artist;music artist;entertainment;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;female;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Santa Barbara;Hindu;Widowed;Service;Far Right;Heterosexual;drink brand;drink brand;entertainment;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Boca Raton;Jewish;Single;Professional;Center Left;Heterosexual;entertainment;entertainment;music artist;6
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
66-75;female;Boston;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Jewish;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;6
36-45;female;Santa Barbara;Buddhist;Widowed;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
46-55;female;Boca Raton;Jewish;Single;Professional;Right;Heterosexual;music artist;music artist;entertainment;6
18-25;female;Norfolk;Buddhist;Married;Manager;Center Left;Heterosexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Student;Center Right;Heterosexual;music artist;music artist;entertainment;5
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Left;Heterosexual;tv show;drink brand;soccer club;7
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Santa Barbara;Jewish;Single;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Single;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;male;Norfolk;Other Religions;Single;Natural resources construction and maintenance;Left;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
66-75;male;Santa Barbara;Hindu;Single;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;San Jose;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Divorced;Student;Center Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Married;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Boca Raton;Jewish;Single;Professional;Right;Heterosexual;entertainment;entertainment;music artist;6
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Christian;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;8
26-35;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;tv show;drink brand;soccer club;6
66-75;female;Norfolk;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Married;Manager;Right;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;3
18-25;male;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Single;Manager;Right;Bisexual;music artist;music artist;entertainment;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
36-45;female;Norfolk;Christian;Divorced;Sales and office;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
76-85;female;San Jose;Jewish;Widowed;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
46-55;female;Norfolk;Buddhist;Single;Manager;Left;Heterosexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
76-85;female;Norfolk;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Heterosexual;music artist;music artist;entertainment;2
46-55;female;Boston;Other Religions;Married;Service;Center Right;Heterosexual;music artist;music artist;entertainment;2
46-55;male;Norfolk;Hindu;Married;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Norfolk;Buddhist;Single;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;San Jose;Buddhist;Married;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Service;Left;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Widowed;Manager;Left;Bisexual;music artist;music artist;entertainment;2
46-55;female;Boca Raton;Christian;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;8
26-35;female;Norfolk;Buddhist;Married;Service;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;Norfolk;Buddhist;Widowed;Service;Center Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Christian;Divorced;Manager;Far Left;Bisexual;entertainment;entertainment;music artist;2
18-25;male;Norfolk;Other Religions;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Student;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Christian;Married;Professional;Center;Heterosexual;entertainment;entertainment;music artist;8
26-35;male;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;male;San Jose;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Buddhist;Divorced;Service;Center Right;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Right;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Widowed;Production transportation and material moving;Center Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boston;Christian;Divorced;Natural resources construction and maintenance;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Norfolk;Jewish;Married;Production transportation and material moving;Left;Heterosexual;tv show;drink brand;soccer club;4
26-35;female;Norfolk;Buddhist;Married;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Natural resources construction and maintenance;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
66-75;male;Santa Barbara;Hindu;Widowed;Student;Center Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
36-45;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Jewish;Married;Professional;Right;Heterosexual;entertainment;entertainment;music artist;6
56-65;female;Boca Raton;Jewish;Single;Professional;Center Left;Heterosexual;entertainment;entertainment;music artist;6
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Boca Raton;Hindu;Single;Professional;Right;Heterosexual;entertainment;entertainment;music artist;6
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
76-85;female;Palo Alto;Traditional Spirituality;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;male;Boca Raton;No religious affiliation;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Boca Raton;Jewish;Married;Professional;Center;Heterosexual;entertainment;entertainment;music artist;6
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
76-85;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;female;Boca Raton;Jewish;Married;Professional;Center;Heterosexual;music artist;music artist;entertainment;6
18-25;female;Santa Barbara;Hindu;Single;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
26-35;male;Boston;No religious affiliation;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Norfolk;Buddhist;Divorced;Student;Far Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Single;Natural resources construction and maintenance;Left;Heterosexual;entertainment;entertainment;music artist;8
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Christian;Single;Natural resources construction and maintenance;Left;Heterosexual;entertainment;entertainment;music artist;8
76-85;female;Palo Alto;No religious affiliation;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Boca Raton;Christian;Single;Professional;Left;Heterosexual;entertainment;entertainment;music artist;8
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
46-55;male;Santa Barbara;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;7
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;male;San Jose;No religious affiliation;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;6
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
46-55;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
76-85;female;Palo Alto;No religious affiliation;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
26-35;male;Norfolk;Buddhist;Divorced;Manager;Center Left;Heterosexual;tv show;drink brand;soccer club;2
76-85;male;Palo Alto;Jewish;Married;Sales and office;Left;Heterosexual;entertainment;entertainment;music artist;4
76-85;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;Santa Barbara;Christian;Single;Student;Far Left;Heterosexual;entertainment;entertainment;music artist;2
18-25;female;Boston;Buddhist;Divorced;Professional;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;7
18-25;male;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Boca Raton;Buddhist;Divorced;Manager;Center;Bisexual;entertainment;entertainment;music artist;2
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Norfolk;Hindu;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Single;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Widowed;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;5
36-45;female;Palo Alto;Muslim;Married;Sales and office;Center;Heterosexual;music artist;music artist;entertainment;5
